,hash,clear,perfect,great,good,bad,poor,totalnotes,maxcombo,minbp,playcount,clearcount,failcount,rank,rate,clear_db,op_history,scorehash,ghost,clear_sd,clear_ex,op_best,rseed,complete
10,6322a76fcbcb7660381b1fc89e8d5f4d,4,1830,302,68,20,7,2222,1033,24,9,5,4,8,89,0,66570,3b36bc960bb072bfeda909336056f577,KUG2t8SF4SF5X@Jg5TGvtr7qszwq15zTPSEssSF1t8q4xs7vr0q2SG6tusr1zVGh2Ja@iPTLcSISF6SLUJytuShEv@Musg4SdXSg4UHtSI7s0t2TH6YNSGr7q22SF9UGzs8hHsg2s4r3SF2SGs0XUGuSGSEvSn4h2NqXhJsSF0tsSGgghhghii2QQigB2PB3hBYB2YB3jEqUGSdYGytw4tg9q22w5yXSJSGSIh2GTF1t4r7r5r1tsTGr0shG3g2tSJg2gS@dKuYMqvg3udGSF4q3xTHq7t3q34r1xss3r7wr9s4r5SF8q28zs2r9r2r4t7gSEsvsh2GY3XhEq2YHutsYPYHqXSNTLTGXg2tSGvt8hGSIBg4@HgScF4vxTEvxSJq4SG3SJtwUESF6vq4YHZ,0,0,23,21972,1
11,084a1c763265e85e66a9b782cc6464e5,4,1004,235,13,0,11,1257,843,11,11,5,6,8,89,0,66826,1553c574a9e48f3bafaf9f3b2ed49aba,SEur0SJvswSEXYESEr7q7r9SHzXTNSIyxxr4SHr5vvsq2r3t6yr9r7gSPF5sTHtSEq6TNTJr4YF1SF5r7vSGSIvtSF1qh2Ir9SEssq2gxTEs6wSE@LySHSIxwss@GSEq12@Lr7xtUEq10XSLur4SHsVGSETHWF9sg4SMsr1THSHg4@ESEtgXn48yqsSJSHoG0tr4SJvSF1s1SJSGXSF0qr3TEShPYSRv@n21r0VEtXSKXSPF0XVEUGSF0sSJsSEvSG@txus8q5sTGZ,0,0,1,4721,1
12,4bbdcf1a6299f13a91e99a5475f92c66,5,1183,46,0,1,2,1231,1231,0,71,12,59,8,97,0,66570,97dab5c14afe1435189d900a3c9b42cd,F51r35tTJ8SKzwt0q4un6SG1r7wr0BESEq22q18q41ytSEwTLtXSEr5r71z9vSI9@I5x9r37Z,0,0,23,1197,1
13,12c06f4353bb52bfe9a859d9765f9664,5,1273,256,18,0,3,1547,1547,3,25,7,18,8,90,0,66570,bbc4b9db293c3d0a969987fd1b88289b,Gr0yqySESLSGSKq5r0g2sytuSF6YTIytuTETESLXUHh3Gr0tuvSH0SF6q25ttSIg5uxsXcEuXSEuq9tr9tsyuTF5vvr1SNSF7r7VKycMgXTJvXSEttyq4SF0sXSF1SIXSHsTKWF5SJsSGTEvSF2SGSHxtUEss8ssTGSEYSHgsXgr5SIXSGt9TGXUG5r3ySL@Hur2D@hNws1s3tvTEq17SH5ySG0t5tstq8SF3TF0hESHr4tt2@GsTF4XSIr5twTEs0g2TKr1SF2r8r2ur8sg19ywsr0txs3yxSMSMtgg3Z,0,0,21,10959,1
14,d6b485999d498560213aa45b0cd6c6b7,4,1385,145,9,1,1,1541,1508,2,11,6,5,8,94,0,66570,71f4a86330b49c8cde80d5a07cbd52db,F1TISF2ys4txr2r9t0r08vTHwr8s2s0vSF1q2SEr5s2r8ur3tySHYESESHr2sw8SH8xs4twtusxXSIzXSF0r1XSF2xq3q9r3SF2r0txtvg4svsxstSItg15s2u9g9xut5tr4s2SKy8r02v7tuh3EwWESEu2tr1h3Er1h4PSL1tvSItaGSHXbGSLSMgsSEZ,0,0,21,23212,1
15,98f2a9a05b16db52f1260e3b6812023f,5,1412,179,19,0,0,1610,1610,0,56,9,47,8,93,0,67082,3d0d7eae844bfa55f5f6150e0cdb595e,Gutq5TJq8r2r7tg2SG3s0SG4r5vs0SH7r2ur1SGSMSMuuUGSI0ug28st1xs6s0yt6r5q3zq29s1XgSg11r5r8sTKSHtSF4XgY2Myqr0ut2s3r4xSF5r9zr6SF4vgghGYGvsg6tTGq4s1g16u2syuSI4xws8r1tUPEq6qvttg9q7tXTESEq9TF6tuuSGSJsts2r8SF4SF0yt0r1r4r1uTG4XhGhF3SEq3TG3xSHg5wvxg24q6ySF0Z,0,0,21,30319,1
16,ff9f25ad005083c6173b565d054405c0,5,1212,129,15,1,2,1357,1357,3,30,11,19,8,94,0,66570,3efe3cf983bb476ee432860c6da869fd,KsySJ2THr9t9gqVF0v5SF03r1xr3r5hF3g16sSGXSEr4g22r4xzqsq2hGXg4XhGg2gTh2EuTGr4sr1xr1uSEq7s6qSIr7g24tSHTHSHYH@w0s2r4q39su1xxv7q45t6y7uq@F8sUIgq36yvtXSJr1r6SIg12q5yBGSGh2LxVHVJZ,0,0,21,17178,1
17,90709c02ee7092b30907df62ed3bed40,5,1511,175,14,2,1,1703,1703,0,10,4,6,8,93,0,66574,015c97e84c49d527267c21abd4673dbf,Ig2q2g7tvq3vXSHXSGwstswSHvvq4wur6sr3q40t4sysr1SF1SI5XTESGtr3r8xxsr6s0r7sus2r1g10xSI1XYNv2TNXSF6t2uwr3s0r3ysr6tr3xSF0qTHgr5sTGusg3r4s1ySF2SESGSI6t5r2zs8s1r7tSI2hG8r9SgvggsgXgB2m2ESF7r5yzr9q11TNv6t0SIyr1tSIq45XYF2Xgvr6xq2SMr4s4ur0q26qvs1yvwsTEZ,0,0,23,6990,1
18,29ffca1c9c4e61ae5b289c2cb6d1f412,4,1320,287,57,10,11,1677,576,21,34,6,28,7,87,0,66570,b1c41bea0e952e5b8b9551150698a15d,G5s3SF3TEyXSg3TEYUh2h2G0wr6s3q70SGSGhGBh2Pstt4SGSEq36s2XSF2wTHVEsgaGiHBHsShQGBC@G2r9t5tWg2r4SGSJ@F0xg3YF2sg18@GhHTEq15q8@GSEsSISMXSLr1SESF9gyh3GhIh2EsTPtD7GTF0utXWESG9xtq2TETh2gttn15SHq16tstXgzsS@KvuXg3h2PSPUg3g3hESdHTF5sr3D7JuSESHcHcHcHcT@dPBhBYahBXSm4Ivr5qq9r5gXSESNr5r5r5ggsq2r0r0sq3u9wsgts2tuSHSG7TGr0bH@Izg3XSESG9s3r2g2XSEwug3@Hq2q6VG0uSHsq5SGq4sr0sTEuzxg16wZ,0,0,21,15366,1
19,065b4491c016292247d76a9847b72b3e,4,1716,245,9,4,6,1976,693,10,4,3,1,8,93,0,66570,b70f6b3263efafb0026dc63ab8377b69,G2u1SIs5r9r5us8r42zv1vzXgsh2m@wTGSESKsv@HytTEr0SF2usr0TF0TEswsur8r1r5s2vUExSItr0vSJwtss6vXgBESRNq2wSHSG4s5sr4s9SH7SISJ3xSG4uXSESMuySJs1t4SHtXWGBUGSNSF9s4uyxswwSF3tVExSJr0BF0tSGsUESF1ar6wr1gD@EttsXY3ESh3G2q5vxSG0sr2r4SJr3WESF7TF6wq2@sSF2XSF8sr6r0SJr4XD7Lvr0xtSJt7q21qq8u0r4vg2SETGyws7yqSF9u9t1Z,0,0,21,18110,1
